claim_id,claim_or_result,evidence_role,evaluation_unit,source_artifact,population_n,denominator,inclusion_exclusion,ground_truth_protocol,model_version,point_estimate,uncertainty_interval,aggregation,cluster_unit,status,release_status,notes
FST-CAND-001,"Raw candidate annotation population: 546 records","human candidate-validation/context annotation","candidate clip","data/derived/annotation_candidate_records_deidentified.csv",546,546,"all parsed candidate rows carrying TP/FP validation","human review recorded in source annotation table; original protocol still to be documented",,546 records,,count,,Verified,Public,"Evidence-audit population; not full event ground truth"
FST-CAND-002,"Canonical exact-deduplicated candidate population: 545 records","audited annotation population","candidate clip","data/derived/annotation_candidate_records_audited.csv",545,546,"exclude one exact repeated match+clip occurrence only","same as source annotations",,545 records,,count,"bout_cluster_id",Verified,Public,"Other bookkeeping conflicts are flagged rather than silently removed"
FST-CAND-003,"Canonical candidate-confirmation rate","descriptive candidate-validation result","selected candidate clip","data/derived/annotation_candidate_records_audited.csv",545,545,"canonical records only","human candidate validation in source table",,"82.3853%",,"449 TP-labelled / (449 TP-labelled + 96 FP-labelled)","bout_cluster_id",Verified,Public,"Do not call recall/F1/overall accuracy; may support precision only after sampling/protocol is confirmed"
FST-CAND-004,"Four dominant annotation patterns cover 535/546 rows","annotation-structure audit","candidate clip","data/derived/annotation_joint_patterns.csv",546,546,"raw candidate rows","not applicable",,"97.9853%",,"top four joint label/confidence/difficulty/event/contact patterns",,Verified,Public,"Shows strong annotation regularity/dependence"
FST-CAND-005,"All 96 FP-labelled rows share Medium/Hard/uncertain-event/uncertain-contact signature","annotation-structure audit","candidate clip","data/derived/annotation_candidate_records_deidentified.csv",96,96,"FP-labelled raw candidate rows","not applicable",,"100%",,"count and conditional proportion",,Verified,Public,"Association is structurally near-deterministic and should not be presented as independent uncertainty validation"
FST-CAND-006,"Visibility labels can be joined to candidate rows one-to-one","context annotation linkage","candidate clip","annotations2.pdf visibility/notes section",,,"not established","identity-level linkage required",,,,,"match/bout",Requires verification,Internal,"Visibility token counts do not align exactly with candidate-row count; no positional merge performed"
FST-PUB-001,"85% reduction in decision-review time","prior public FST.ai 2.0 claim","review event","FST.ai 2.0 arXiv:2510.18193 abstract",,,"prior publication population not fully reconstructed","requires comparable baseline and assisted timing definitions","FST.ai 2.0","85%",,,"review/bout",Quarantined prior-public claim,Public provenance,"Not promoted as new SSAC result until underlying observations and denominator are reconciled"
FST-PUB-002,"93% referee trust in AI-assisted decisions","prior public FST.ai 2.0 claim","respondent","FST.ai 2.0 arXiv:2510.18193",27,27,"public body text references N=27 referees but multiple acceptance/trust descriptions require reconciliation","survey/user-study protocol must provide wording, scale and aggregation","FST.ai 2.0","93%",,mean/percentage requires reconciliation,respondent,Quarantined prior-public claim,Public provenance,"Public body also reports coach/referee value ratings with different percentages"
FST-PUB-003,"Mean review time reported as 89.7 s to 4.6 s","prior public FST.ai 2.0 pilot claim","review event","FST.ai 2.0 arXiv:2510.18193 body",,,"source population/denominator pending","baseline and assisted timing observations required","FST.ai 2.0","about 94.9% arithmetic reduction",,mean,review/bout,Quarantined prior-public claim,Public provenance,"Does not numerically align with 85% abstract headline"
FST-PUB-004,"Mean review time reported as 89.3 s to 4.6 s across 156 IVR requests","prior public FST.ai 2.0 pilot claim","IVR request","FST.ai 2.0 arXiv:2510.18193 body",156,156,"passage describes four competition days","timing boundary and raw observations required","FST.ai 2.0","about 94.8% arithmetic reduction",,mean,review/bout,Quarantined prior-public claim,Public provenance,"Requires reconciliation with 85% abstract headline and other pilot description"
FST-PUB-005,"Head-kick classification accuracy reported around 92.7-92.8%","prior public FST.ai 2.0 pilot claim","action/review","FST.ai 2.0 arXiv:2510.18193 body",,,"population and exact denominator pending","jury/expert consensus described publicly; event-level table not yet reconstructed","FST.ai 2.0","~92.8%",,,bout,Quarantined prior-public claim,Public provenance,"Terminology accuracy/precision and population need reconciliation"
FST-PUB-006,"Jury override reduction 0.31 to 0.18 (41.9%)","prior public FST.ai 2.0 comparison","review/bout","FST.ai 2.0 arXiv:2510.18193 body",,,"historical and pilot population counts pending","historical comparator and pilot decision records required","FST.ai 2.0","41.9%",,relative reduction,competition/bout,Quarantined prior-public claim,Public provenance,"Historical-versus-pilot comparison requires matched definitions"
FST-OPS-001,"A Fujairah 2025 IVR head-kick review took nearly 90 seconds","public operational example","single IVR example","FST.ai arXiv:2507.14657",1,1,"published example","observational case report","FST.ai","nearly 90 s",,single case,,Public provenance only,Public,"Motivating example; not a controlled latency estimate"
FST-EVAL-001,"Independent event-level precision/recall/F1","planned primary model-performance result","reference event and model event","ground_truth_events.csv + fst_ssac_predictions.csv + matched_events.csv",,,"final evaluation set; frozen configuration","independent reference event inventory followed by deterministic temporal/class matching","frozen FST/FST 2.0",,,,bout/match,Pending evidence,Planned public,"Cannot be completed until FN are independently observable"
FST-EVAL-002,"Risk-coverage / defer-to-human performance","planned uncertainty result","eligible model-supported decision","matched_events.csv + actual numerical model uncertainty",,,"threshold fixed outside final test set","matched model/reference outcomes","frozen FST/FST 2.0",,,,bout/match,Pending implementation output,Planned public,"Human High/Medium annotation confidence is explicitly excluded as model uncertainty"
FST-EVAL-003,"Contextual robustness by visibility/contact/difficulty/action type","planned secondary result","event","matched_events.csv + independently linked context annotations",,,"prespecified strata","independent reference plus context linkage","frozen FST/FST 2.0",,,,bout/match,Pending evidence,Planned public,"Visibility identity linkage must be verified before use"
